seed,arm,mu_rel,auc_source,auc_PR,auc_SD
3,cfs_iamb,,0.6379667123129227,0.5695195803180366,0.6182854515474379
3,cfs_hiton_mb,,0.6330743269759045,0.5704931749227106,0.6196082255200407
3,cfs_cg,,0.6314618626564056,0.5560610102227435,0.6179241184677828
4,vanilla,0.0,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal,0.25,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal,0.5,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal,1.0,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal,2.0,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal,4.0,0.8460500608658814,0.8020541342232111,0.7888708235256349
4,causal_ce,0.25,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal_ce,0.5,0.8461281899149581,0.8075439699505086,0.7957967187131672
4,causal_ce,1.0,0.8460500608658814,0.8020541342232111,0.7888708235256349
4,causal_ce,2.0,0.8460500608658814,0.8020541342232111,0.7888708235256349
4,causal_ce,4.0,0.8460500608658814,0.8020541342232111,0.7888708235256349
4,cfs_iamb,,0.6427491214349754,0.5812745240283085,0.6201689709446644
4,cfs_hiton_mb,,0.6434647886815504,0.5725666199158486,0.618199720458961
4,cfs_cg,,0.6436830601008355,0.5582866631200529,0.6169217691089212
5,vanilla,0.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal,0.25,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal,0.5,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal,1.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal,2.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal,4.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal_ce,0.25,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal_ce,0.5,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal_ce,1.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal_ce,2.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,causal_ce,4.0,0.8454853144606745,0.8149143537528335,0.7780925642929428
5,cfs_iamb,,0.6526835928048462,0.5695450338027095,0.6221236949435259
5,cfs_hiton_mb,,0.6526835928048462,0.5695450338027095,0.6221236949435259
5,cfs_cg,,0.6469479678898998,0.5449809284584612,0.6179737997040262
