rep,arm,k,auc,n,p
17,cfs_hiton_mb,6,0.55848,408,11
17,cfs_cg,6,0.7532800000000001,408,11
17,vanilla,8,0.746,408,11
17,causal,8,0.74416,408,11
17,iamb_soft_cg,8,0.766,408,11
17,iamb_soft_fz,8,0.72768,408,11
17,cfs_iamb,8,0.55848,408,11
17,cfs_hiton_mb,8,0.55848,408,11
17,cfs_cg,8,0.766,408,11
17,vanilla,10,0.74912,408,11
17,causal,10,0.7393599999999999,408,11
17,iamb_soft_cg,10,0.77376,408,11
17,iamb_soft_fz,10,0.7407999999999999,408,11
17,cfs_iamb,10,0.55848,408,11
17,cfs_hiton_mb,10,0.55848,408,11
17,cfs_cg,10,0.77376,408,11
18,vanilla,2,0.6450400000000001,408,11
18,causal,2,0.6450400000000001,408,11
