param,value,seed,model,edges,sd,sc,shd,fpr,tpr,f1,tp,mcc,shd-nm,f1_bin_bin,f1_bin_cont,precision_bin_bin,precision_bin_cont,recall_bin_bin,recall_bin_cont
n_samples,164,8,logistic,mut_1->mut_3;mut_4->mut_5;mut_7->mut_6,0.4,0.41888888888888887,0.2222222222222222,0.021505376344086023,0.0,0.0,0,-0.03919309008348102,0.0027434842249657062,0.16666666666666666,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0
n_samples,164,9,gaussian,mut_5->mut_7;mut_7->mut_8,0.6,0.5972751322751323,0.35555555555555557,0.010869565217391304,0.125,0.2,1,0.22116293423234568,0.001388888888888889,0.1111111111111111,0.0,0.5,0.0,0.0625,0.0
n_samples,164,9,logistic,mut_2->mut_6;mut_3->Y;mut_3->mut_1;mut_6->mut_7;mut_8->mut_5,0.5777777777777777,0.5765343915343916,0.37777777777777777,0.021739130434782608,0.125,0.18181818181818182,1,0.16422081026966037,0.0014756944444444444,0.2,0.0,0.5,0.0,0.125,0.0
n_samples,300,0,gaussian,mut_0->Y;mut_2->mut_3;mut_5->mut_2;mut_5->mut_3;mut_6->Y;mut_6->mut_2,0.6,0.6544973544973546,0.3333333333333333,0.011111111111111112,0.2,0.3076923076923077,2,0.3321858829976445,0.0014814814814814814,0.11764705882352941,1.0,0.25,1.0,0.07692307692307693,1.0
n_samples,300,0,logistic,mut_0->Y;mut_2->mut_6;mut_4->mut_1;mut_6->Y;mut_8->mut_1,0.6,0.6162962962962963,0.35555555555555557,0.011111111111111112,0.2,0.3076923076923077,2,0.3321858829976445,0.001580246913580247,0.0,1.0,0.0,1.0,0.0,1.0
n_samples,300,1,gaussian,mut_0->mut_6;mut_6->Y;mut_7->mut_0;mut_7->mut_3,0.8,0.7361287477954144,0.4222222222222222,0.011111111111111112,0.1,0.16666666666666666,1,0.19047619047619047,0.0011695906432748538,0.1,0.6666666666666666,0.3333333333333333,1.0,0.058823529411764705,0.5
n_samples,300,1,logistic,mut_2->mut_0;mut_6->Y;mut_6->mut_1;mut_8->mut_7,0.8888888888888888,0.7482804232804233,0.4222222222222222,0.0,0.1,0.18181818181818182,1,0.3015113445777636,0.0011695906432748538,0.1,0.6666666666666666,0.3333333333333333,1.0,0.058823529411764705,0.5
n_samples,300,2,gaussian,mut_0->mut_1;mut_0->mut_3;mut_2->mut_7,0.5777777777777777,0.47761022927689595,0.2222222222222222,0.010416666666666666,0.5,0.5714285714285714,2,0.5624005575838948,0.0018365472910927456,0.30769230769230765,0.0,0.6666666666666666,0.0,0.2,0.0
n_samples,300,2,logistic,mut_2->mut_5;mut_2->mut_7;mut_3->mut_6,0.4888888888888889,0.414647266313933,0.2222222222222222,0.010416666666666666,0.5,0.5714285714285714,2,0.5624005575838948,0.0018365472910927456,0.30769230769230765,0.0,0.6666666666666666,0.0,0.2,0.0
n_samples,300,3,gaussian,mut_1->mut_3;mut_1->mut_7;mut_2->mut_5,0.9333333333333333,0.7031216931216931,0.4666666666666667,0.031578947368421054,0.0,0.0,0,-0.04034576548024157,0.001440329218106996,0.0,0.0,0.0,0.0,0.0,0.0
n_samples,300,3,logistic,mut_0->mut_4;mut_3->Y;mut_6->mut_0;mut_6->mut_3;mut_6->mut_7;mut_7->mut_2;mut_8->mut_5,0.5111111111111111,0.5024338624338625,0.4222222222222222,0.021052631578947368,0.2,0.25,1,0.22862600438803554,0.0013031550068587105,0.1739130434782609,1.0,0.3333333333333333,1.0,0.11764705882352941,1.0
n_samples,300,4,gaussian,mut_6->Y;mut_7->Y;mut_7->mut_1,0.6444444444444445,0.7216402116402116,0.35555555555555557,0.0,0.16666666666666666,0.2857142857142857,2,0.3868589716493314,0.0012302960399846214,0.0,0.8,0.0,1.0,0.0,0.6666666666666666
n_samples,300,4,logistic,mut_3->mut_2;mut_5->Y;mut_6->Y;mut_7->Y;mut_8->mut_1,0.7333333333333333,0.6457671957671958,0.35555555555555557,0.0,0.25,0.4,3,0.47623956546190094,0.0012302960399846214,0.0,1.0,0.0,1.0,0.0,1.0
n_samples,300,5,gaussian,mut_0->Y;mut_0->mut_2;mut_0->mut_3;mut_0->mut_4;mut_0->mut_6,0.8888888888888888,0.6722222222222223,0.5333333333333333,0.0449438202247191,0.09090909090909091,0.125,1,0.06598942787409975,0.0012093726379440665,0.0,0.5,0.0,1.0,0.0,0.3333333333333333
n_samples,300,5,logistic,mut_0->mut_7;mut_1->mut_5;mut_1->mut_6;mut_4->Y;mut_8->Y;mut_8->mut_2,0.8444444444444444,0.7001587301587302,0.37777777777777777,0.011235955056179775,0.36363636363636365,0.5,4,0.5059189470347648,0.0008566389518770471,0.27272727272727276,0.8,0.75,1.0,0.16666666666666666,0.6666666666666666
n_samples,300,6,gaussian,mut_2->mut_4;mut_3->mut_5;mut_3->mut_8,0.6888888888888889,0.514074074074074,0.35555555555555557,0.03296703296703297,0.0,0.0,0,-0.05530639088956956,0.00210387902695595,0.0,0.0,0.0,0.0,0.0,0.0
n_samples,300,6,logistic,mut_2->mut_4;mut_2->mut_8;mut_4->mut_3;mut_6->mut_5;mut_7->Y,0.5555555555555556,0.44222222222222224,0.35555555555555557,0.02197802197802198,0.1111111111111111,0.16666666666666666,1,0.14953209388661398,0.00210387902695595,0.11764705882352941,0.0,0.25,0.0,0.07692307692307693,0.0
n_samples,300,7,gaussian,mut_2->mut_8;mut_3->Y;mut_6->Y;mut_7->mut_3,0.5111111111111111,0.5563227513227513,0.26666666666666666,0.0,0.5,0.6666666666666666,3,0.6960862607997853,0.0013605442176870747,0.14285714285714285,1.0,0.5,1.0,0.08333333333333333,1.0
n_samples,300,7,logistic,mut_1->mut_7;mut_3->Y;mut_3->mut_6;mut_6->Y,0.5111111111111111,0.5822486772486772,0.3111111111111111,0.02127659574468085,0.3333333333333333,0.4,2,0.3781877902948909,0.0015873015873015873,0.0,1.0,0.0,1.0,0.0,1.0
n_samples,300,8,gaussian,mut_1->mut_3;mut_2->mut_0;mut_2->mut_7;mut_5->mut_0;mut_6->mut_4,0.4444444444444444,0.41962962962962963,0.26666666666666666,0.021505376344086023,0.0,0.0,0,-0.03919309008348102,0.0032921810699588477,0.14285714285714285,0.0,0.2,0.0,0.1111111111111111,0.0
n_samples,300,8,logistic,mut_3->mut_1;mut_4->mut_7;mut_7->mut_3;mut_8->mut_4,0.4444444444444444,0.3555555555555556,0.24444444444444444,0.0,0.14285714285714285,0.25,1,0.3663319999660611,0.003017832647462277,0.15384615384615383,0.0,0.25,0.0,0.1111111111111111,0.0
