param,value,seed,model,sd,sc,shd,fpr,tpr,f1,f1_bin_bin,precision_bin_bin,recall_bin_bin,f1_bin_cont,precision_bin_cont,recall_bin_cont
n_mix,5,1,logistic,0.8666666666666667,0.697857142857143,0.4444444444444444,0.0,0.1,0.18181818181818182,0.182,0.4,0.118,0.0,0.0,0.0
n_mix,5,2,gaussian,0.8222222222222222,0.4702028218694885,0.26666666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,5,2,logistic,0.4222222222222222,0.37464726631393297,0.2222222222222222,0.020833333333333332,0.0,0.0,0.4,0.6,0.3,0.0,0.0,0.0
n_mix,5,3,gaussian,0.7555555555555555,0.6979365079365079,0.4222222222222222,0.021052631578947368,0.2,0.25,0.0,0.0,0.0,0.5,0.333,1.0
n_mix,5,3,logistic,0.37777777777777777,0.2197883597883598,0.24444444444444444,0.010526315789473684,0.4,0.5,0.538,0.778,0.412,0.2,0.111,1.0
n_mix,5,4,gaussian,0.4,0.5244973544973546,0.35555555555555557,0.045454545454545456,0.3333333333333333,0.4,0.174,0.222,0.143,0.5,0.333,1.0
n_mix,5,4,logistic,0.35555555555555557,0.5624338624338624,0.26666666666666666,0.011363636363636364,0.5,0.631578947368421,0.286,0.429,0.214,0.6,0.429,1.0
n_mix,5,5,gaussian,0.7333333333333333,0.6546560846560846,0.4666666666666667,0.02247191011235955,0.2727272727272727,0.375,0.0,0.0,0.0,0.667,0.5,1.0
n_mix,5,5,logistic,0.7777777777777778,0.5946031746031746,0.3111111111111111,0.0,0.36363636363636365,0.5333333333333333,0.4,0.714,0.278,0.4,0.286,0.667
n_mix,5,6,gaussian,0.6666666666666666,0.4955555555555555,0.37777777777777777,0.02197802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,5,6,logistic,0.7333333333333333,0.5511111111111111,0.3333333333333333,0.02197802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,5,7,gaussian,0.6222222222222222,0.6041005291005291,0.3333333333333333,0.02127659574468085,0.16666666666666666,0.2222222222222222,0.235,0.4,0.167,0.0,0.0,0.0
n_mix,5,7,logistic,0.6,0.571137566137566,0.26666666666666666,0.010638297872340425,0.16666666666666666,0.25,0.375,0.75,0.25,0.0,0.0,0.0
n_mix,5,8,gaussian,0.37777777777777777,0.43148148148148147,0.2,0.010752688172043012,0.14285714285714285,0.2222222222222222,0.182,0.5,0.111,0.0,0.0,0.0
n_mix,5,8,logistic,0.4,0.41518518518518516,0.17777777777777778,0.0,0.14285714285714285,0.25,0.2,1.0,0.111,0.0,0.0,0.0
n_mix,5,9,gaussian,0.6,0.5646825396825398,0.4444444444444444,0.03260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,5,9,logistic,0.5111111111111111,0.3098677248677249,0.24444444444444444,0.010869565217391304,0.375,0.5,0.522,0.857,0.375,0.0,0.0,0.0
p_mix,0.0,0,gaussian,0.6222222222222222,0.6487301587301588,0.3111111111111111,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.8,0.667,1.0
p_mix,0.0,0,logistic,0.5555555555555556,0.5894708994708995,0.2222222222222222,0.0,0.5,0.6666666666666666,0.333,0.6,0.231,0.571,0.4,1.0
p_mix,0.0,1,gaussian,0.8444444444444444,0.8182804232804233,0.4666666666666667,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.0,1,logistic,0.8,0.6775396825396824,0.4222222222222222,0.022222222222222223,0.2,0.2857142857142857,0.261,0.5,0.176,0.0,0.0,0.0
p_mix,0.0,2,gaussian,0.6888888888888889,0.49242504409171073,0.24444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.0,2,logistic,0.6888888888888889,0.48089065255731916,0.24444444444444444,0.010416666666666666,0.0,0.0,0.167,0.5,0.1,0.0,0.0,0.0
p_mix,0.0,3,gaussian,0.8888888888888888,0.6346031746031745,0.4,0.010526315789473684,0.2,0.2857142857142857,0.19,0.5,0.118,0.0,0.0,0.0
p_mix,0.0,3,logistic,0.5777777777777777,0.5394179894179894,0.35555555555555557,0.021052631578947368,0.2,0.25,0.261,0.5,0.176,0.286,0.167,1.0
p_mix,0.0,4,gaussian,0.5111111111111111,0.4756613756613757,0.35555555555555557,0.022727272727272728,0.25,0.35294117647058826,0.174,0.222,0.143,0.5,0.333,1.0
p_mix,0.0,4,logistic,0.4888888888888889,0.49201058201058206,0.3333333333333333,0.022727272727272728,0.4166666666666667,0.5263157894736842,0.182,0.25,0.143,0.545,0.375,1.0
p_mix,0.0,5,gaussian,0.8888888888888888,0.7927513227513229,0.4444444444444444,0.0,0.18181818181818182,0.3076923076923077,0.0,0.0,0.0,0.667,0.667,0.667
p_mix,0.0,5,logistic,0.8444444444444444,0.6442328042328042,0.4222222222222222,0.011235955056179775,0.18181818181818182,0.2857142857142857,0.167,0.333,0.111,0.444,0.333,0.667
p_mix,0.0,6,gaussian,0.7555555555555555,0.49037037037037035,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.0,6,logistic,0.8,0.5385185185185185,0.28888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.0,7,gaussian,0.6444444444444445,0.642989417989418,0.37777777777777777,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.0,7,logistic,0.6,0.6229894179894181,0.3111111111111111,0.010638297872340425,0.16666666666666666,0.25,0.25,0.5,0.167,0.0,0.0,0.0
p_mix,0.0,8,gaussian,0.4222222222222222,0.43518518518518523,0.24444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.0,8,logistic,0.4666666666666667,0.38185185185185183,0.2,0.0,0.14285714285714285,0.25,0.182,0.5,0.111,0.0,0.0,0.0
