split,k,arm,mu_hat_rel,mu_star,intercept,multiplier,auc,brier,ece,nfeat
7,8,vanilla,0.0,0.0,-10.0,5.189488073669736,0.7629260597002532,0.19772505691632802,0.027518755091070678,8
7,8,causal,0.0,0.0,-10.0,5.189488073669736,0.7629260597002532,0.19772505691632802,0.027518755091070678,8
7,10,vanilla,0.0,0.0,-10.0,5.955074217419504,0.7701266243201728,0.19525387541073283,0.02995077570932202,10
7,10,causal,0.01,0.865,-10.0,5.955075839365344,0.7701266243201728,0.19525387344163217,0.029950737605761495,10
8,2,vanilla,0.0,0.0,-2.0,1.918329027193337,0.7301648191970772,0.20351120120471328,0.010107038092226227,2
8,2,causal,1.5199110829529332,126.15261988509346,-2.0,1.9183290306020364,0.7301648191970772,0.20351120119818022,0.010107037783147785,2
8,4,vanilla,0.0,0.0,-5.0,2.899421844222087,0.7634898492963009,0.195770275332396,0.011457798222529673,4
8,4,causal,0.4328761281083057,35.92871863298937,-9.0,3.793990900696869,0.7663374434342176,0.19475120613759217,0.01968495535247816,4
8,6,vanilla,0.0,0.0,-5.0,3.4172990415128757,0.770029061319384,0.19371743107373326,0.023486369562362063,6
8,6,causal,0.23101297000831592,19.17407651069022,-11.0,4.910702291455269,0.7756420475775314,0.19116091403129937,0.02035051224216695,6
8,8,vanilla,0.0,0.0,-6.0,4.414189171572355,0.7782741727903018,0.19067676271057957,0.03576236025924526,8
8,8,causal,0.0,0.0,-6.0,4.414189171572355,0.7782741727903018,0.19067676271057957,0.03576236025924526,8
8,10,vanilla,0.0,0.0,-6.0,4.108869973821877,0.7802711005936813,0.18996171843124135,0.02537366700428438,10
8,10,causal,0.03511191734215131,2.9142891393985586,-7.0,4.528839864348173,0.7805056669572797,0.18953303619981524,0.02262224611005192,10
9,2,vanilla,0.0,0.0,-2.0,1.891765410882324,0.7263909992942251,0.20549280772292886,0.018714812835080193,2
9,2,causal,2.8480358684357987,264.15532679742034,-2.0,1.891765414812446,0.7263909992942251,0.2054928077088217,0.018714812469477187,2
9,4,vanilla,0.0,0.0,-9.0,3.683048036598655,0.7589376011956657,0.19843388350001098,0.03482070846784179,4
9,4,causal,0.4328761281083057,40.149260882045354,-9.0,3.6830479884038785,0.7589376011956657,0.19843388359101213,0.03482070972243907,4
9,6,vanilla,0.0,0.0,-9.0,3.7078436427147827,0.769776227840744,0.19457140137250462,0.01892912104875362,6
9,6,causal,0.03511191734215131,3.2566303334845337,-9.0,3.707843642946211,0.769776227840744,0.1945714013722654,0.018929121046058057,6
9,8,vanilla,0.0,0.0,-6.0,4.6544576000951094,0.7737883505625441,0.1928550847478733,0.0272389220914439,8
