rep,arm,mu_rel,auc_source,auc_target,gap
6,causal,4.0,0.8701050544507576,0.5555501302083333,0.31455492424242426
6,causal,8.0,0.8701050544507576,0.5555501302083333,0.31455492424242426
6,causal,16.0,0.8711754261363636,0.5655741003787879,0.3056013257575757
6,causal,32.0,0.8701050544507576,0.5555501302083333,0.31455492424242426
7,vanilla,0.0,0.8660425803632942,0.5826801767740418,0.28336240358925235
7,causal,0.5,0.8692130866562485,0.5856453428777874,0.28356774377846117
7,causal,1.0,0.8692130866562485,0.5856453428777874,0.28356774377846117
7,causal,2.0,0.8692913915074524,0.5854826838735696,0.2838087076338828
7,causal,4.0,0.8692913915074524,0.5854826838735696,0.2838087076338828
7,causal,8.0,0.868426677420981,0.5804506729848263,0.2879760044361547
7,causal,16.0,0.868426677420981,0.5804506729848263,0.2879760044361547
7,causal,32.0,0.868426677420981,0.5804506729848263,0.2879760044361547
8,vanilla,0.0,0.8556143074939004,0.550984181637093,0.3046301258568075
8,causal,0.5,0.856172257175649,0.553399822337075,0.3027724348385741
8,causal,1.0,0.8552093045450875,0.5507033714354234,0.3045059331096641
8,causal,2.0,0.8552093045450875,0.5507033714354234,0.3045059331096641
8,causal,4.0,0.8595040488059142,0.5594727253150091,0.3000313234909051
8,causal,8.0,0.8595979580999368,0.5586657783520418,0.300932179747895
8,causal,16.0,0.8583578659892962,0.5559797278282298,0.3023781381610664
8,causal,32.0,0.8583578659892962,0.5559797278282298,0.3023781381610664
9,vanilla,0.0,0.862915248576221,0.5386943653456078,0.32422088323061327
9,causal,0.5,0.8620817649009205,0.5395708183804026,0.3225109465205179
9,causal,1.0,0.8620817649009205,0.5395708183804026,0.3225109465205179
9,causal,2.0,0.862915248576221,0.5386943653456078,0.32422088323061327
9,causal,4.0,0.8629262194765174,0.5384487390778593,0.3244774803986581
9,causal,8.0,0.8629262194765174,0.5384487390778593,0.3244774803986581
9,causal,16.0,0.8629262194765174,0.5384487390778593,0.3244774803986581
9,causal,32.0,0.8632928303947573,0.540139781459666,0.32315304893509134
10,vanilla,0.0,0.8753679707913162,0.5673817383386752,0.307986232452641
10,causal,0.5,0.8753679707913162,0.5673817383386752,0.307986232452641
10,causal,1.0,0.8753679707913162,0.5673817383386752,0.307986232452641
10,causal,2.0,0.8744433608208737,0.5663914915502337,0.30805186927064
10,causal,4.0,0.8747065075158651,0.5660926791870146,0.30861382832885054
10,causal,8.0,0.8747065075158651,0.5660926791870146,0.30861382832885054
10,causal,16.0,0.8725791553051033,0.5599129278156847,0.31266622748941864
10,causal,32.0,0.8725791553051033,0.5599129278156847,0.31266622748941864
11,vanilla,0.0,0.8722246160045878,0.5491743517413474,0.32305026426324035
11,causal,0.5,0.8719561679505262,0.5525277825136781,0.31942838543684815
11,causal,1.0,0.8713386754289434,0.5492047303894977,0.3221339450394457
