split,k,mu_index,mu_rel,cv_auc,cv_log_loss,cv_stability
0,6,9,8.111308307896872,0.7457098003330284,0.591657190664367,0.5809523809523809
0,6,10,18.73817422860385,0.7277138906807079,0.6051294614326196,0.6127380952380953
0,6,11,43.287612810830616,0.7277138906807079,0.6051294614326196,0.6127380952380953
0,6,12,100.0,0.727939715590111,0.6046782630201694,0.6523809523809524
0,8,0,0.0,0.7802356450298276,0.5652444739662066,0.3922610722610723
0,8,1,0.01,0.780201695001218,0.5654385554555701,0.45463869463869455
0,8,2,0.023101297000831605,0.7796958777210349,0.5660303502530659,0.4158508158508159
0,8,3,0.0533669923120631,0.7829566063115364,0.5616027578248961,0.4941414141414141
0,8,4,0.12328467394420657,0.77928897813457,0.5653734529906137,0.6319191919191918
0,8,5,0.2848035868435802,0.7800496492201837,0.5654773865504211,0.7377777777777776
0,8,6,0.6579332246575682,0.7800955595511333,0.5651157733498646,0.7866666666666666
0,8,7,1.5199110829529332,0.7746691847378455,0.5704588912984785,0.925
0,8,8,3.511191734215131,0.7679020409591958,0.5773043647179037,0.6982142857142857
0,8,9,8.111308307896872,0.7480893211637275,0.5943455883536725,0.5186111111111111
0,8,10,18.73817422860385,0.7480893211637275,0.5943455883536674,0.5186111111111111
0,8,11,43.287612810830616,0.747450755457071,0.5948706872652625,0.6282828282828282
0,8,12,100.0,0.7459959489413743,0.5957315763345044,0.85
0,10,0,0.0,0.7857866375784799,0.5591783996946177,0.4547349709114415
0,10,1,0.01,0.7857866375784799,0.5591783996946158,0.4547349709114415
0,10,2,0.023101297000831605,0.7881678978427452,0.5572306023489522,0.5808524808524809
0,10,3,0.0533669923120631,0.7865525898272782,0.5575859113664128,0.5870795870795871
0,10,4,0.12328467394420657,0.7835802500355387,0.5613920915778574,0.8363636363636363
0,10,5,0.2848035868435802,0.782042434321203,0.5637445414274942,0.7265151515151514
0,10,6,0.6579332246575682,0.7790726418888463,0.565520000701544,0.6926340326340326
0,10,7,1.5199110829529332,0.7725754660574721,0.5720043657984257,0.7508585858585859
0,10,8,3.511191734215131,0.7725754660574721,0.5720043657984261,0.7508585858585859
0,10,9,8.111308307896872,0.7725754660574721,0.5720043657984236,0.7508585858585859
0,10,10,18.73817422860385,0.7636264532485261,0.5804437407855064,0.6348484848484848
0,10,11,43.287612810830616,0.7608425509025409,0.5829645625964293,0.6909090909090908
0,10,12,100.0,0.760994368807063,0.5829262791209284,1.0
1,2,0,0.0,0.724723978681045,0.5997879185528545,0.3333333333333333
1,2,1,0.01,0.724723978681045,0.5997879185528545,0.3333333333333333
1,2,2,0.023101297000831605,0.7239679229877398,0.6003741534262442,0.26666666666666666
1,2,3,0.053366992312063107,0.7239679229877398,0.6003741534262442,0.26666666666666666
1,2,4,0.12328467394420659,0.7239679229877398,0.6003741534262408,0.26666666666666666
1,2,5,0.2848035868435802,0.7239679229877398,0.6003741534262457,0.26666666666666666
1,2,6,0.6579332246575682,0.7239679229877398,0.600374153566016,0.26666666666666666
1,2,7,1.5199110829529332,0.7256356704605607,0.5995999795394681,0.5999999999999999
1,2,8,3.511191734215131,0.7289918521645768,0.5977568593377665,0.7333333333333333
1,2,9,8.111308307896872,0.7034245375142602,0.6098457700004716,0.7333333333333333
1,2,10,18.73817422860385,0.7034245375142602,0.6098457700004716,0.7333333333333333
1,2,11,43.287612810830616,0.7034245375142602,0.6098457700004716,0.7333333333333333
1,2,12,100.0,0.7034245375142602,0.6098457700004716,0.7333333333333333
1,4,0,0.0,0.7622414519519873,0.5772656824632758,0.6266666666666666
1,4,1,0.01,0.7622414519519873,0.5772656824632758,0.6266666666666666
1,4,2,0.023101297000831605,0.7622414519519873,0.5772656824632758,0.6266666666666666
1,4,3,0.053366992312063107,0.7622414519519873,0.5772656824211956,0.6266666666666666
1,4,4,0.12328467394420659,0.7630600672485732,0.5761174196384468,0.8400000000000001
1,4,5,0.2848035868435802,0.7630600672485732,0.5761174196384468,0.8400000000000001
1,4,6,0.6579332246575682,0.7610084350026896,0.5781377716533498,0.5333333333333332
1,4,7,1.5199110829529332,0.7500521780065591,0.5867943138457499,0.4
1,4,8,3.511191734215131,0.7298360253478688,0.5991065890942657,0.5200000000000001
1,4,9,8.111308307896872,0.7097029797532789,0.6089303378699695,0.7416666666666666
1,4,10,18.73817422860385,0.7097029797532789,0.6089303378699695,0.7416666666666666
1,4,11,43.287612810830616,0.7097029797532789,0.6089303378699694,0.7416666666666666
1,4,12,100.0,0.7097029797532789,0.6089303378699694,0.7416666666666666
1,6,0,0.0,0.7739108874254311,0.5681254821147331,0.5223809523809525
1,6,1,0.01,0.7739108874254311,0.5681254821147331,0.5223809523809525
1,6,2,0.023101297000831605,0.7739108874254311,0.5681254821147331,0.5223809523809525
1,6,3,0.053366992312063107,0.7755813051252213,0.5673445069283594,0.57
1,6,4,0.12328467394420659,0.7709695652701909,0.5719123892064462,0.5523809523809524
1,6,5,0.2848035868435802,0.7716700312383695,0.5692220089948903,0.6785714285714286
1,6,6,0.6579332246575682,0.7711418334844176,0.5715227990651254,1.0
1,6,7,1.5199110829529332,0.7529608180981099,0.5846100144879802,0.7066666666666666
1,6,8,3.511191734215131,0.7500064026870856,0.5867291366988169,0.4777380952380952
1,6,9,8.111308307896872,0.7412269578628469,0.5960828340285663,0.5476190476190477
1,6,10,18.73817422860385,0.7214084025713614,0.6048837938838996,0.8
1,6,11,43.287612810830616,0.7214084025713614,0.6048837938838996,0.8
1,6,12,100.0,0.7214084025713614,0.6048837938838996,0.8
1,8,0,0.0,0.7792867186568001,0.564475131352539,0.4418648018648018
1,8,1,0.01,0.7792867186568001,0.5644751313526394,0.4418648018648018
1,8,2,0.023101297000831605,0.7792867186568001,0.5644751263960671,0.4418648018648018
1,8,3,0.053366992312063107,0.7787171973903496,0.5641787047213354,0.4892929292929292
1,8,4,0.12328467394420659,0.7790257429024324,0.5646807738783836,0.9111111111111111
1,8,5,0.2848035868435802,0.775843677426867,0.5682074215899154,0.6644444444444444
1,8,6,0.6579332246575682,0.770492413998047,0.5732261841263577,0.6944444444444444
1,8,7,1.5199110829529332,0.7711906512053525,0.5725329565667459,0.9
1,8,8,3.511191734215131,0.7598328050741456,0.5812950521712906,0.6015873015873016
