split,k,arm,mu_hat_rel,mu_star,intercept,multiplier,auc,brier,ece,nfeat
3,4,vanilla,0.0,0.0,-6.0,3.830778182510209,0.7599838086934861,0.19749790866461459,0.03034285342778809,4
3,4,causal,0.0,0.0,-6.0,3.830778182510209,0.7599838086934861,0.19749790866461459,0.03034285342778809,4
3,6,vanilla,0.0,0.0,-4.0,3.2595417985217523,0.774045335658239,0.19255824130026486,0.03051229605371158,6
3,6,causal,0.053366992312063107,4.856396300397742,-4.0,3.2595442471669283,0.774045335658239,0.19255824184664022,0.03051235900476906,6
3,8,vanilla,0.0,0.0,-7.0,4.593316415376075,0.7815369286337029,0.18989578568122326,0.02857578604551984,8
3,8,causal,0.0,0.0,-7.0,4.593316415376075,0.7815369286337029,0.18989578568122326,0.02857578604551984,8
3,10,vanilla,0.0,0.0,-8.0,6.272647819932869,0.7846950637273218,0.1887124017406184,0.032379298953297025,10
3,10,causal,0.0,0.0,-8.0,6.272647819932869,0.7846950637273218,0.1887124017406184,0.032379298953297025,10
4,2,vanilla,0.0,0.0,-2.0,1.8921092571543263,0.724215136795782,0.2061010327648702,0.017258207245780102,2
4,2,causal,1.5199110829529332,132.99221975838165,-2.0,1.8921092611996824,0.724215136795782,0.2061010327508991,0.01725820687123728,2
4,4,vanilla,0.0,0.0,-5.0,2.8506926386673808,0.7565587246232408,0.1988082500978124,0.016134218452723878,4
4,4,causal,0.0,0.0,-5.0,2.8506926386673808,0.7565587246232408,0.1988082500978124,0.016134218452723878,4
4,6,vanilla,0.0,0.0,-11.0,4.32306441712628,0.7647764354215967,0.1966535648102873,0.02102066315605473,6
4,6,causal,0.053366992312063107,4.669611827305522,-11.0,4.323064417071114,0.7647764354215967,0.19665356481032156,0.021020663156394143,6
4,8,vanilla,0.0,0.0,-11.0,5.0619447583511645,0.7718715489683232,0.19380236879310256,0.015803173472764383,8
