split,k,arm,feature,coef
6,6,vanilla,x18_le_23,-2
6,6,causal,x1_le_63,4
6,6,causal,x1_le_74,4
6,6,causal,x1_le_81,4
6,6,causal,x4_le_70,2
6,6,causal,x5_le_18,2
6,6,causal,x15_le_0,3
6,8,vanilla,x1_le_63,3
6,8,vanilla,x1_le_69,3
6,8,vanilla,x1_le_74,3
6,8,vanilla,x1_le_81,4
6,8,vanilla,x4_le_70,2
6,8,vanilla,x5_le_22,2
6,8,vanilla,x14_le_48,-2
6,8,vanilla,x15_le_0,3
6,8,causal,x1_le_63,3
6,8,causal,x1_le_69,3
6,8,causal,x1_le_74,3
6,8,causal,x1_le_81,4
6,8,causal,x4_le_70,2
6,8,causal,x5_le_22,2
6,8,causal,x14_le_48,-2
6,8,causal,x15_le_0,3
6,10,vanilla,x1_le_63,3
6,10,vanilla,x1_le_69,3
6,10,vanilla,x1_le_74,2
6,10,vanilla,x1_le_81,4
6,10,vanilla,x2_le_127,2
6,10,vanilla,x4_le_81,2
6,10,vanilla,x5_le_18,2
6,10,vanilla,x14_le_48,-2
6,10,vanilla,x15_le_0,3
6,10,vanilla,x18_le_23,-2
6,10,causal,x1_le_63,3
6,10,causal,x1_le_69,3
6,10,causal,x1_le_74,2
6,10,causal,x1_le_81,4
6,10,causal,x2_le_127,2
6,10,causal,x4_le_81,2
6,10,causal,x5_le_18,2
6,10,causal,x14_le_48,-2
6,10,causal,x15_le_0,3
6,10,causal,x18_le_23,-2
7,2,vanilla,x1_le_70,5
7,2,vanilla,x1_le_81,4
7,2,causal,x1_le_70,5
7,2,causal,x1_le_81,4
7,4,vanilla,x1_le_70,4
7,4,vanilla,x1_le_81,4
7,4,vanilla,x5_le_18,2
7,4,vanilla,x15_le_0,2
7,4,causal,x1_le_70,4
7,4,causal,x1_le_81,4
7,4,causal,x5_le_18,2
7,4,causal,x15_le_0,2
7,6,vanilla,x1_le_70,5
7,6,vanilla,x1_le_81,4
7,6,vanilla,x4_le_81,2
7,6,vanilla,x5_le_12,3
7,6,vanilla,x15_le_0,3
7,6,vanilla,x18_le_36,-2
7,6,causal,x1_le_70,5
7,6,causal,x1_le_81,4
7,6,causal,x4_le_81,2
7,6,causal,x5_le_12,3
7,6,causal,x15_le_0,3
7,6,causal,x18_le_36,-2
7,8,vanilla,x1_le_70,3
7,8,vanilla,x1_le_74,3
7,8,vanilla,x1_le_81,3
7,8,vanilla,x4_le_81,3
7,8,vanilla,x5_le_12,3
7,8,vanilla,x8_le_95,3
7,8,vanilla,x15_le_0,4
7,8,vanilla,x18_le_36,-3
7,8,causal,x1_le_70,3
7,8,causal,x1_le_74,3
7,8,causal,x1_le_81,3
7,8,causal,x4_le_81,3
7,8,causal,x5_le_12,3
7,8,causal,x8_le_95,3
7,8,causal,x15_le_0,4
7,8,causal,x18_le_36,-3
7,10,vanilla,x1_le_70,3
7,10,vanilla,x1_le_74,3
7,10,vanilla,x1_le_81,3
7,10,vanilla,x4_le_52,3
7,10,vanilla,x4_le_81,3
7,10,vanilla,x5_le_12,3
7,10,vanilla,x8_le_95,4
7,10,vanilla,x15_le_0,4
7,10,vanilla,x18_le_36,-3
7,10,vanilla,x22_le_0,-2
7,10,causal,x1_le_70,3
7,10,causal,x1_le_74,3
7,10,causal,x1_le_81,3
7,10,causal,x4_le_52,3
7,10,causal,x4_le_81,3
7,10,causal,x5_le_12,3
7,10,causal,x8_le_95,4
7,10,causal,x15_le_0,4
7,10,causal,x18_le_36,-3
7,10,causal,x22_le_0,-2
8,2,vanilla,x1_le_63,2
8,2,vanilla,x1_le_74,3
8,2,causal,x1_le_63,2
8,2,causal,x1_le_74,3
8,4,vanilla,x1_le_63,3
8,4,vanilla,x1_le_74,4
8,4,vanilla,x4_le_70,2
8,4,vanilla,x15_le_0,2
8,4,causal,x1_le_69,5
8,4,causal,x1_le_81,5
8,4,causal,x5_le_22,2
8,4,causal,x15_le_0,3
8,6,vanilla,x1_le_63,3
8,6,vanilla,x1_le_74,4
8,6,vanilla,x4_le_70,2
8,6,vanilla,x5_le_17,2
8,6,vanilla,x15_le_0,2
8,6,vanilla,x18_le_23,-2
8,6,causal,x1_le_63,3
8,6,causal,x1_le_69,3
8,6,causal,x1_le_74,4
8,6,causal,x1_le_81,5
8,6,causal,x5_le_17,3
8,6,causal,x15_le_0,3
8,8,vanilla,x1_le_63,3
8,8,vanilla,x1_le_74,4
8,8,vanilla,x4_le_70,3
8,8,vanilla,x5_le_17,2
8,8,vanilla,x8_le_95,2
8,8,vanilla,x15_le_0,3
8,8,vanilla,x18_le_23,-2
8,8,vanilla,x22_le_0,-2
8,8,causal,x1_le_63,3
8,8,causal,x1_le_74,4
8,8,causal,x4_le_70,3
8,8,causal,x5_le_17,2
8,8,causal,x8_le_95,2
8,8,causal,x15_le_0,3
8,8,causal,x18_le_23,-2
8,8,causal,x22_le_0,-2
8,10,vanilla,x1_le_63,2
8,10,vanilla,x1_le_74,3
8,10,vanilla,x4_le_53,2
8,10,vanilla,x4_le_70,2
8,10,vanilla,x5_le_12,2
8,10,vanilla,x8_le_95,3
8,10,vanilla,x9_le_19,2
8,10,vanilla,x15_le_0,2
8,10,vanilla,x18_le_23,-2
8,10,vanilla,x22_le_0,-2
8,10,causal,x1_le_63,2
8,10,causal,x1_le_74,3
8,10,causal,x4_le_53,2
8,10,causal,x4_le_70,2
8,10,causal,x5_le_12,2
8,10,causal,x8_le_95,3
8,10,causal,x9_le_19,2
8,10,causal,x15_le_0,2
8,10,causal,x18_le_23,-2
8,10,causal,x22_le_0,-2
9,2,vanilla,x1_le_63,2
9,2,vanilla,x1_le_74,3
9,2,causal,x1_le_63,2
9,2,causal,x1_le_74,3
9,4,vanilla,x1_le_70,5
9,4,vanilla,x1_le_81,5
9,4,vanilla,x5_le_22,2
9,4,vanilla,x15_le_0,3
9,4,causal,x1_le_70,5
9,4,causal,x1_le_81,5
9,4,causal,x5_le_22,2
9,4,causal,x15_le_0,3
9,6,vanilla,x1_le_63,3
9,6,vanilla,x1_le_74,4
9,6,vanilla,x1_le_81,3
9,6,vanilla,x4_le_70,2
9,6,vanilla,x5_le_18,2
9,6,vanilla,x15_le_0,3
9,6,causal,x1_le_63,2
9,6,causal,x1_le_70,3
9,6,causal,x1_le_81,3
9,6,causal,x4_le_53,2
9,6,causal,x15_le_0,2
9,6,causal,x22_missing,2
9,8,vanilla,x1_le_63,3
9,8,vanilla,x1_le_74,4
9,8,vanilla,x4_le_70,3
9,8,vanilla,x5_le_12,3
9,8,vanilla,x8_le_95,3
9,8,vanilla,x15_le_0,3
9,8,vanilla,x18_le_23,-2
9,8,vanilla,x22_le_0,-2
9,8,causal,x1_le_63,3
9,8,causal,x1_le_70,3
9,8,causal,x1_le_74,2
9,8,causal,x1_le_81,3
9,8,causal,x4_le_53,3
9,8,causal,x15_le_0,3
9,8,causal,x18_le_36,-2
9,8,causal,x22_missing,3
9,10,vanilla,x1_le_63,2
9,10,vanilla,x1_le_70,2
9,10,vanilla,x1_le_74,2
9,10,vanilla,x4_le_53,3
9,10,vanilla,x4_le_81,2
9,10,vanilla,x5_le_12,2
9,10,vanilla,x8_le_95,3
9,10,vanilla,x15_le_0,3
9,10,vanilla,x18_le_23,-2
9,10,vanilla,x22_le_0,-2
9,10,causal,x1_le_63,3
9,10,causal,x1_le_70,3
9,10,causal,x1_le_74,3
9,10,causal,x1_le_81,3
9,10,causal,x4_le_70,3
9,10,causal,x5_le_18,2
9,10,causal,x8_le_95,2
9,10,causal,x15_le_0,3
9,10,causal,x18_le_36,-2
9,10,causal,x22_missing,4
