param,value,seed,method,edges,sd,sc,shd,fpr,tpr,f1,tp,mcc,shd-nm,f1_bin_bin,f1_bin_cont,precision_bin_bin,precision_bin_cont,recall_bin_bin,recall_bin_cont
p_graph,0.6,1,cmm_logistic,mut_1->mut_0;mut_1->mut_6;mut_3->mut_7,0.8444444444444444,0.8478395061728395,0.5333333333333333,0.011363636363636364,0.08333333333333333,0.14285714285714285,1,0.16705273775766585,0.0008533333333333333,0.18181818181818182,0.0,0.6666666666666666,0.0,0.10526315789473684,0.0
p_graph,0.6,1,pc_pillai,mut_7->mut_3,0.9111111111111111,0.9033950617283951,0.5333333333333333,0.0,0.0,0.0,0,1,0.0008533333333333333,0.1,0.0,1.0,0.0,0.05263157894736842,0.0
p_graph,0.6,1,ges_cg,mut_0->mut_1;mut_1->mut_6;mut_7->mut_0;mut_7->mut_3,0.8444444444444444,0.7926543209876543,0.5555555555555556,0.011363636363636364,0.08333333333333333,0.14285714285714285,1,0.16705273775766585,0.0008888888888888889,0.17391304347826086,0.0,0.5,0.0,0.10526315789473684,0.0
p_graph,0.6,1,empty,,0.9333333333333333,0.9256172839506173,0.5555555555555556,0.0,0.0,0.0,0,1,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.6,2,cmm_logistic,mut_2->mut_5;mut_4->mut_7;mut_5->mut_8,0.7333333333333333,0.6987037037037038,0.5555555555555556,0.021505376344086023,0.14285714285714285,0.2,1,0.18150563077168275,0.0009645061728395062,0.07407407407407407,0.0,0.3333333333333333,0.0,0.041666666666666664,0.0
p_graph,0.6,2,pc_pillai,mut_5->mut_2;mut_7->mut_4,0.7333333333333333,0.732037037037037,0.5333333333333333,0.0,0.0,0.0,0,1,0.000925925925925926,0.07692307692307693,0.0,0.5,0.0,0.041666666666666664,0.0
p_graph,0.6,2,ges_cg,mut_5->mut_2;mut_7->mut_4,0.7333333333333333,0.732037037037037,0.5333333333333333,0.0,0.0,0.0,0,1,0.000925925925925926,0.07692307692307693,0.0,0.5,0.0,0.041666666666666664,0.0
p_graph,0.6,2,empty,,0.7777777777777778,0.7764814814814816,0.5333333333333333,0.0,0.0,0.0,0,1,0.000925925925925926,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.6,3,cmm_logistic,mut_1->mut_5;mut_6->Y;mut_6->mut_4;mut_8->mut_5;mut_8->mut_7,0.6444444444444445,0.7630158730158729,0.4444444444444444,0.0,0.18181818181818182,0.3076923076923077,2,0.4063503336925199,0.000711111111111111,0.32,0.4,1.0,1.0,0.19047619047619047,0.25
p_graph,0.6,3,pc_pillai,mut_1->mut_5;mut_6->Y;mut_8->mut_5,0.7333333333333333,0.8333862433862435,0.4888888888888889,0.0,0.18181818181818182,0.3076923076923077,2,0.4063503336925199,0.0007822222222222222,0.17391304347826084,0.4,1.0,1.0,0.09523809523809523,0.25
p_graph,0.6,3,ges_cg,mut_1->mut_5;mut_6->Y;mut_6->mut_4;mut_8->mut_5;mut_8->mut_7,0.6444444444444445,0.7630158730158729,0.4444444444444444,0.0,0.18181818181818182,0.3076923076923077,2,0.4063503336925199,0.000711111111111111,0.32,0.4,1.0,1.0,0.19047619047619047,0.25
p_graph,0.6,3,empty,,0.8,0.9111640211640213,0.5555555555555556,0.0,0.0,0.0,0,1,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.6,4,cmm_logistic,mut_2->mut_1;mut_4->mut_2;mut_5->Y;mut_5->mut_0;mut_6->Y;mut_7->Y;mut_8->mut_5,0.7111111111111111,0.6448236331569664,0.5777777777777777,0.0,0.17647058823529413,0.3,3,0.3885879648524106,0.0009244444444444443,0.0,1.0,0.0,1.0,0.0,1.0
p_graph,0.6,4,pc_pillai,mut_4->mut_2;mut_8->mut_5,0.9555555555555556,0.8477336860670194,0.6,0.0,0.0,0.0,0,1,0.0009599999999999999,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.6,4,ges_cg,mut_2->mut_1;mut_2->mut_5;mut_4->mut_2;mut_5->mut_0;mut_8->mut_2;mut_8->mut_5,0.8666666666666667,0.6683509700176367,0.6888888888888889,0.012048192771084338,0.0,0.0,0,-0.0454849600082695,0.0011022222222222223,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.6,4,empty,,1.0,0.8921781305114638,0.5555555555555556,0.0,0.0,0.0,0,1,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.6,5,cmm_logistic,mut_0->Y;mut_3->Y;mut_4->Y;mut_4->mut_5;mut_4->mut_6;mut_7->Y;mut_8->Y;mut_8->mut_2,0.7333333333333333,0.5457583774250441,0.4,0.011904761904761904,0.375,0.5217391304347826,6,0.5217106392206319,0.0006944444444444445,0.1904761904761905,0.9090909090909091,0.6666666666666666,1.0,0.1111111111111111,0.8333333333333334
p_graph,0.6,5,pc_pillai,mut_5->mut_4;mut_7->Y,0.8444444444444444,0.8827954144620811,0.5333333333333333,0.0,0.0625,0.11764705882352941,1,0.23028309323591917,0.000925925925925926,0.0,0.2857142857142857,0.0,1.0,0.0,0.16666666666666666
p_graph,0.6,5,ges_cg,mut_2->mut_8;mut_3->mut_2;mut_4->mut_2;mut_4->mut_5;mut_4->mut_6;mut_7->Y;mut_7->mut_2,0.7777777777777778,0.6148765432098765,0.5555555555555556,0.023809523809523808,0.125,0.2,2,0.18931004635463394,0.0009645061728395062,0.16666666666666666,0.2857142857142857,0.3333333333333333,1.0,0.1111111111111111,0.16666666666666666
p_graph,0.6,5,empty,,0.8888888888888888,0.9272398589065255,0.5333333333333333,0.0,0.0,0.0,0,1,0.000925925925925926,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.6,6,cmm_logistic,mut_0->Y;mut_0->mut_4;mut_0->mut_6;mut_0->mut_7;mut_0->mut_8;mut_4->mut_3,0.6444444444444445,0.6505026455026456,0.6222222222222222,0.03571428571428571,0.125,0.19047619047619047,2,0.15018785229652767,0.0009204470742932282,0.12903225806451613,0.0,0.4,0.0,0.07692307692307693,0.0
p_graph,0.6,6,pc_pillai,mut_3->mut_4;mut_6->mut_0,0.7555555555555555,0.742936507936508,0.5333333333333333,0.0,0.0625,0.11764705882352941,1,0.23028309323591917,0.0007889546351084812,0.14285714285714288,0.0,1.0,0.0,0.07692307692307693,0.0
p_graph,0.6,6,ges_cg,mut_0->mut_4;mut_4->mut_3;mut_6->mut_0;mut_8->mut_4,0.6666666666666666,0.6375396825396825,0.6222222222222222,0.011904761904761904,0.0,0.0,0,-0.04386344633065127,0.0009204470742932282,0.06666666666666668,0.0,0.25,0.0,0.038461538461538464,0.0
p_graph,0.6,6,empty,,0.8,0.7873809523809523,0.5777777777777777,0.0,0.0,0.0,0,1,0.0008547008547008546,0.0,0.0,0.0,0.0,0.0,0.0
