seed,arm,mu_rel,auc_source,auc_TX,auc_FL
4,vanilla,0.0,0.6900176716233841,0.746181822368823,0.7408606713801118
4,causal,0.5,0.6900176716233841,0.746181822368823,0.7408606713801118
4,causal,1.0,0.6932159704555532,0.734316800663904,0.7282144905658829
4,causal,2.0,0.6932159704555532,0.734316800663904,0.7282144905658829
4,causal,4.0,0.6830294303756601,0.7304931590884158,0.7220509519441399
4,causal,8.0,0.6830294303756601,0.7304931590884158,0.7220509519441399
4,causal,16.0,0.6830294303756601,0.7304931590884158,0.7220509519441399
4,causal,32.0,0.6830294303756601,0.7304931590884158,0.7220509519441399
4,causal_ce,0.5,0.6880368275178532,0.7467810971195046,0.7431390634151673
4,causal_ce,1.0,0.6880368275178532,0.7467810971195046,0.7431390634151673
4,causal_ce,2.0,0.6884663769688047,0.735006537009667,0.7273149019782277
4,causal_ce,4.0,0.6808244457322296,0.7404635514401304,0.731098125653512
4,causal_ce,8.0,0.6808244457322296,0.7404635514401304,0.731098125653512
4,causal_ce,16.0,0.6774393014644162,0.7359853026827912,0.7279001894013042
4,causal_ce,32.0,0.6774393014644162,0.7359853026827912,0.7279001894013042
4,causal_icp,0.5,0.6889405527504078,0.745391442834189,0.7322299082479322
4,causal_icp,1.0,0.6889405527504078,0.745391442834189,0.7322299082479322
4,causal_icp,2.0,0.6889405527504078,0.745391442834189,0.7322299082479322
4,causal_icp,4.0,0.6889405527504078,0.745391442834189,0.7322299082479322
4,causal_icp,8.0,0.6889405527504078,0.745391442834189,0.7322299082479322
4,causal_icp,16.0,0.6889405527504078,0.745391442834189,0.7322299082479322
4,causal_icp,32.0,0.6889405527504078,0.745391442834189,0.7322299082479322
4,cfs_iamb,,0.6868276120157891,0.7519585708283372,0.735231412100441
4,cfs_hiton_mb,,0.6856541782890178,0.7527471912394368,0.7341281641911895
4,cfs_cg,,0.6535341834329842,0.6899428028978841,0.681322864274397
5,vanilla,0.0,0.6950022920936252,0.7646775518638548,0.745402954799251
5,causal,0.5,0.6950022920936252,0.7646775518638548,0.745402954799251
5,causal,1.0,0.6891171057598966,0.7567176806330457,0.7390479256103976
5,causal,2.0,0.6891171057598966,0.7567176806330457,0.7390479256103976
5,causal,4.0,0.6863927165354331,0.7449342995688354,0.7247903539465828
5,causal,8.0,0.6863927165354331,0.7449342995688354,0.7247903539465828
5,causal,16.0,0.6863927165354331,0.7449342995688354,0.7247903539465828
5,causal,32.0,0.6863927165354331,0.7449342995688354,0.7247903539465828
5,causal_ce,0.5,0.6832575706504154,0.7525934999317775,0.7372870229222654
5,causal_ce,1.0,0.6832575706504154,0.7525934999317775,0.7372870229222654
5,causal_ce,2.0,0.684743588879301,0.75006055622401,0.7283039591656261
5,causal_ce,4.0,0.684743588879301,0.75006055622401,0.7283039591656261
5,causal_ce,8.0,0.684743588879301,0.75006055622401,0.7283039591656261
5,causal_ce,16.0,0.6879290934095565,0.7504370358981143,0.729600417920781
5,causal_ce,32.0,0.6879290934095565,0.7504370358981143,0.729600417920781
5,causal_icp,0.5,0.6856406064610074,0.7484801643240018,0.7250590133348456
5,causal_icp,1.0,0.6856406064610074,0.7484801643240018,0.7250590133348456
5,causal_icp,2.0,0.6856406064610074,0.7484801643240018,0.7250590133348456
5,causal_icp,4.0,0.6856406064610074,0.7484801643240018,0.7250590133348456
5,causal_icp,8.0,0.6856406064610074,0.7484801643240018,0.7250590133348456
5,causal_icp,16.0,0.6856406064610074,0.7484801643240018,0.7250590133348456
5,causal_icp,32.0,0.6856406064610074,0.7484801643240018,0.7250590133348456
5,cfs_iamb,,0.685649842250027,0.7510182901700393,0.7323344059324293
5,cfs_hiton_mb,,0.682131916729587,0.7593501534500594,0.7397623585171743
5,cfs_cg,,0.6389736476647612,0.6821380027996369,0.6816667000232385
6,vanilla,0.0,0.6929349859644173,0.7460593181959659,0.7359966470765521
6,causal,0.5,0.6929349859644173,0.7460593181959659,0.7359966470765521
6,causal,1.0,0.6947213664961436,0.7497291463282009,0.7404055059523809
