rep,arm,k,auc,n,p
5,cfs_hiton_mb,4,0.6612169312169311,700,61
5,cfs_cg,4,0.6524867724867724,700,61
5,vanilla,6,0.696031746031746,700,61
5,causal,6,0.6813227513227512,700,61
5,iamb_soft_cg,6,0.696031746031746,700,61
5,iamb_soft_fz,6,0.7184656084656085,700,61
5,cfs_iamb,6,0.6772751322751323,700,61
5,cfs_hiton_mb,6,0.6772751322751323,700,61
5,cfs_cg,6,0.6524867724867724,700,61
5,vanilla,8,0.6944708994708996,700,61
5,causal,8,0.6915873015873015,700,61
5,iamb_soft_cg,8,0.7031481481481482,700,61
5,iamb_soft_fz,8,0.6797354497354497,700,61
5,cfs_iamb,8,0.6627777777777777,700,61
5,cfs_hiton_mb,8,0.6866402116402117,700,61
5,cfs_cg,8,0.6524867724867724,700,61
5,vanilla,10,0.6784920634920635,700,61
5,causal,10,0.7000793650793652,700,61
5,iamb_soft_cg,10,0.6972222222222222,700,61
5,iamb_soft_fz,10,0.6912433862433862,700,61
5,cfs_iamb,10,0.6789682539682539,700,61
5,cfs_hiton_mb,10,0.6815608465608466,700,61
5,cfs_cg,10,0.6524867724867724,700,61
6,vanilla,2,0.7394444444444446,700,61
6,causal,2,0.7394444444444446,700,61
6,iamb_soft_cg,2,0.7394444444444446,700,61
6,iamb_soft_fz,2,0.7394444444444446,700,61
6,cfs_iamb,2,0.7098148148148148,700,61
6,cfs_hiton_mb,2,0.7098148148148148,700,61
6,cfs_cg,2,0.7098148148148148,700,61
6,vanilla,4,0.7264814814814814,700,61
6,causal,4,0.740026455026455,700,61
6,iamb_soft_cg,4,0.7256349206349206,700,61
6,iamb_soft_fz,4,0.7258465608465607,700,61
6,cfs_iamb,4,0.7152116402116402,700,61
6,cfs_hiton_mb,4,0.7152116402116402,700,61
6,cfs_cg,4,0.7170370370370371,700,61
6,vanilla,6,0.7386772486772487,700,61
6,causal,6,0.7516402116402117,700,61
6,iamb_soft_cg,6,0.7347354497354498,700,61
6,iamb_soft_fz,6,0.7441798941798943,700,61
6,cfs_iamb,6,0.7159523809523809,700,61
6,cfs_hiton_mb,6,0.7188095238095237,700,61
6,cfs_cg,6,0.7170370370370371,700,61
6,vanilla,8,0.7392063492063492,700,61
6,causal,8,0.7649470899470899,700,61
6,iamb_soft_cg,8,0.7427777777777778,700,61
6,iamb_soft_fz,8,0.7304232804232803,700,61
6,cfs_iamb,8,0.7321957671957672,700,61
6,cfs_hiton_mb,8,0.7432539682539682,700,61
6,cfs_cg,8,0.7170370370370371,700,61
6,vanilla,10,0.7375661375661375,700,61
6,causal,10,0.7707671957671959,700,61
6,iamb_soft_cg,10,0.7387566137566137,700,61
6,iamb_soft_fz,10,0.7504232804232804,700,61
6,cfs_iamb,10,0.7309788359788361,700,61
6,cfs_hiton_mb,10,0.746984126984127,700,61
6,cfs_cg,10,0.7170370370370371,700,61
7,vanilla,2,0.7502380952380954,700,61
7,causal,2,0.7502380952380954,700,61
7,iamb_soft_cg,2,0.7502380952380954,700,61
7,iamb_soft_fz,2,0.7502380952380954,700,61
7,cfs_iamb,2,0.7251322751322751,700,61
